Party,Candidate,FPv%,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Count 7,Count 8,Count 9,Count 10,Count 11,Count 12,Count 13 
Fianna Fáil ,Éamon Ó Cuív ,14.1,8522,8534,8566,8825,8893,9017,9200,11910,  ,  ,  ,  ,  
Independent ,Noel Grealish ,13.3,8043,8159,8196,8541,8616,9168,9302,10393,  ,  ,  ,  ,  
Sinn Féin ,Mairéad Farrell ,14,8464,8486,8744,8814,8904,9633,10013,10340,  ,  ,  ,  ,  
Independent ,Catherine Connolly ,9,5439,5478,5693,5775,6028,6661,7625,8089,8722,8831,8906,12486,  
Fine Gael ,Hildegarde Naughton ,9.3,5609,5617,5645,5667,5885,6027,6630,7009,7366,7473,7509,8536,9519
Fine Gael ,Seán Kyne ,8.8,5284,5292,5314,5345,5477,5559,5829,6049,6399,6461,6493,7037,7574
Social Democrats ,Niall Ó Tuathail ,6,3623,3630,3761,3793,4057,4313,5750,5979,6281,6339,6403,  ,  
Fianna Fáil ,Ollie Crowe ,8.6,5175,5180,5207,5310,5384,5555,5671,  ,  ,  ,  ,  ,  
Green Party ,Pauline O'Reilly ,6,3650,3655,3766,3811,4098,4230,  ,  ,  ,  ,  ,  ,  
Independent ,Mike Cubbard ,4.4,2676,2697,2740,2802,2907,  ,  ,  ,  ,  ,  ,  ,  
Labour Party ,Niall McNelis ,2.6,1548,1554,1577,1593,  ,  ,  ,  ,  ,  ,  ,  ,  
Aontú ,Cormac Ó Corcoráin ,1.8,1058,1097,1118,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Solidarity–PBP ,Conor Burke ,0.8,495,512,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Solidarity–PBP ,Joe Loughnane,0.7,437,445,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Independent ,Daragh O'Flaherty,0.5,318,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
