Party,Candidates,Votes,Vote_Pct,Vote_Pct_Change,Seats,Seat_Change,Seat_Pct
Fine Gael ,88,544230,25.52,-10.58,49,-27,31.21
Fianna Fáil ,71,519353,24.35,6.9,44,25,28.03
Sinn Féin ,50,295313,13.85,3.91,23,9,14.65
Labour Party,36,140893,6.61,-12.84,7,-30,4.46
AAA–PBP,31,84168,3.95,1.77,6,2,3.82
People before Profit ,18,42174,1.98,1.01,3,1,1.91
AAA,13,41994,1.97,0.76,3,1,1.91
Social Democrats,14,64094,3.01,3.01,3,3,1.91
Green Party ,40,57997,2.72,0.87,2,2,1.27
Renua,26,46552,2.18,2.18,0,0,0
Workers and Unemployed Action Group,1,7452,0.35,-0.05,1,0,0.64
Direct Democracy Ireland,19,6481,0.3,0.27,0,0,0
Workers Party,5,3242,0.15,0.01,0,0,0
Catholic Democrats – The National Party,3,2013,0.09,0.09,0,0,0
Fís Nua ,2,1224,0.06,0.02,0,0,0
Irish Democratic Party,1,971,0.05,0.05,0,0,0
Communist Party of Ireland,1,185,0.01,0.01,0,0,0
Identity Ireland ,1,183,0.01,0.01,0,0,0
Independent Alliance,21,89828,4.21,4.21,6,6,3.82
Independents 4 Change,5,31365,1.47,1.47,4,4,2.55
Other Independents,136,237351,11.13,-1.31,12,-2,7.64
