Party,Candidates,Votes,Vote_Pct,Vote_Pct_Change,Seats,Seat_Change,Seat_Pct
Sinn Féin ,42,535573,24.53,10.68,37,14,23.27
Fianna Fáil ,84,484315,22.18,-2.17,37,-7,23.27
Fine Gael ,82,455568,20.86,-4.66,35,-14,22.01
Green Party ,39,155695,7.13,4.41,12,10,7.55
Labour Party,31,95582,4.38,-2.23,6,-1,3.77
Social Democrats ,20,63397,2.9,-0.11,6,3,3.77
Solidarity-PBP,37,57420,2.63,-1.32,5,-1,3.14
People Before Profit ,27,40220,1.84,-0.14,3,0,1.89
Solidarity,9,12723,0.58,-1.39,1,-2,0.63
RISE,1,4477,0.21,0.21,1,1,0.63
Aontú,26,41575,1.9,1.9,1,1,0.63
Independents 4 Change ,4,8421,0.39,-1.08,1,-3,0.63
Irish Freedom Party ,11,5495,0.25,0.25,0,0,0
Renua,11,5473,0.25,-1.93,0,0,0
National Party ,10,4773,0.22,0.13,0,0,0
Irish Democratic Party ,1,2611,0.12,0.07,0,0,0
Workers Party,4,1195,0.05,-0.1,0,0,0
United People ,1,43,0,0,0,0,0
Independent,128,266353,12.2,-3.14,19,1,11.95
